keyword,position,previous_position,url,search_volume,cpc,keyword_difficulty,etv,intent
icp marketing,3,,/es/blog/perfil-cliente-ideal,140,,0,13.621999740600586,
owo gaming,3,,/es/casos-exito/owo-game,140,1.0700000524520874,0,13.621999740600586,
cliente ideal,6,,/es/blog/perfil-cliente-ideal,110,,0,3.7179999351501465,
perfil de clientes,10,,/es/blog/perfil-cliente-ideal,140,,0,1.5820000171661377,
perfil de cliente,11,,/es/blog/perfil-cliente-ideal,140,,0,1.2739999294281006,
crm in marketing,15,,/es/blog/crm-que-es-beneficios,480,21.489999771118164,11,2.447999954223633,
marketing ia,15,,/es/blog/la-inteligencia-artificial-ia-y-su-aplicacion-en-marketing,90,7.380000114440918,0,0.45899999141693115,
marketing artificial intelligence,16,,/es/blog/la-inteligencia-artificial-ia-y-su-aplicacion-en-marketing,260,4.460000038146973,6,1.1180000305175781,
crm crm,19,,/es/blog/crm-que-es-beneficios,10,,48,0.027000000700354576,
crm customer,19,,/es/blog/crm-que-es-beneficios,90,10.140000343322754,38,0.24300000071525574,
crm que significa,20,,/es/blog/crm-que-es-beneficios,880,1.440000057220459,38,2.111999988555908,
que es crm marketing,20,,/es/blog/crm-que-es-beneficios,320,1.4900000095367432,38,0.7680000066757202,
automatizacion de marketing,21,,/es/blog/automatizacion-marketing-digital-guia-completa,210,4.489999771118164,0,0.4830000102519989,
crm en marketing,21,,/es/blog/crm-que-es-beneficios,480,21.489999771118164,22,1.1039999723434448,
para qué sirve un crm,23,,/es/blog/crm-que-es-beneficios,720,2.3499999046325684,31,1.5120000839233398,
que es customer relationship management,23,,/es/blog/crm-que-es-beneficios,3600,2.2799999713897705,54,7.559999942779541,
crm marketing,24,,/es/blog/crm-que-es-beneficios,480,21.489999771118164,12,1.0080000162124634,
que es crm en marketing,24,,/es/blog/crm-que-es-beneficios,320,1.4900000095367432,36,0.671999990940094,
crm que es en marketing,25,,/es/blog/crm-que-es-beneficios,320,1.4900000095367432,38,0.671999990940094,
automatización de marketing,26,,/es/blog/automatizacion-marketing-digital-guia-completa,210,4.489999771118164,8,0.4410000145435333,
que es crm en una empresa,27,,/es/blog/crm-que-es-beneficios,880,1.9600000381469727,34,1.8480000495910645,
aecoc que es,29,,/es/casos-exito/aecoc,260,0.5699999928474426,14,0.5460000038146973,
marketing de automatizacion,33,,/es/blog/automatizacion-marketing-digital-guia-completa,210,4.489999771118164,4,0.4410000145435333,
que es ideal,36,,/es/blog/perfil-cliente-ideal,210,,0,0.4410000145435333,
marketing and ai,37,,/es/blog/la-inteligencia-artificial-ia-y-su-aplicacion-en-marketing,140,11.550000190734863,41,0.2939999997615814,
marketing redes sociales,37,,/es/servicios/gestion-redes-sociales,110,6.349999904632568,0,0.23100000619888306,
google consent mode,38,,/es/blog/google-consent-mode-cookieyes,90,9.210000038146973,18,0.1889999955892563,
ai marketing,43,,/es/blog/la-inteligencia-artificial-ia-y-su-aplicacion-en-marketing,210,10.289999961853027,0,0.4410000145435333,
consent mode,43,,/es/blog/google-consent-mode-cookieyes,90,8.079999923706055,0,0.1889999955892563,
ia para marketing,49,,/es/blog/la-inteligencia-artificial-ia-y-su-aplicacion-en-marketing,90,12.010000228881836,0,0.1889999955892563,
gestión de redes sociales para empresas,53,,/es/servicios/gestion-redes-sociales,170,8.6899995803833,0,0.3569999933242798,
artificial intelligence and marketing,54,,/es/blog/la-inteligencia-artificial-ia-y-su-aplicacion-en-marketing,140,11.550000190734863,47,0.2939999997615814,
agencias redes sociales,55,,/es/servicios/gestion-redes-sociales,720,10.40999984741211,0,1.5120000839233398,
marketing ai,55,,/es/blog/la-inteligencia-artificial-ia-y-su-aplicacion-en-marketing,260,4.460000038146973,43,0.5460000038146973,
crm siglas,56,,/es/blog/crm-que-es-beneficios,260,1.7999999523162842,22,0.5460000038146973,
servicios de redes sociales,59,,/es/servicios/gestion-redes-sociales,90,10.949999809265137,0,0.1889999955892563,
gestion de redes sociales,62,,/es/servicios/gestion-redes-sociales,1600,5.720000267028809,0,3.3600001335144043,
gestion redes sociales,62,,/es/servicios/gestion-redes-sociales,590,5.559999942779541,0,1.2389999628067017,
gestion de redes sociales para empresas,69,,/es/servicios/gestion-redes-sociales,170,8.6899995803833,0,0.3569999933242798,
crear link,75,,/es/herramientas/generador-whatsapp-link,110,1.8700000047683716,16,0.23100000619888306,
